,Unnamed: 0,gfa
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,1
10,10,0
11,11,0
12,12,0
13,13,1
14,14,1
15,15,1
16,16,1
17,17,1
18,18,1
19,19,0
20,20,1
21,21,1
22,22,1
23,23,1
24,24,0
25,25,0
26,26,1
27,27,0
28,28,1
29,29,1
30,30,1
31,31,0
32,32,1
33,33,0
34,34,1
35,35,1
36,36,0
37,37,1
38,38,0
39,39,0
40,40,1
41,41,0
42,42,1
43,43,0
44,44,0
45,45,1
46,46,1
47,47,0
48,48,0
49,49,0
50,50,1
51,51,1
52,52,0
53,53,0
54,54,0
55,55,1
56,56,0
57,57,1
58,58,1
59,59,1
60,60,1
61,61,1
62,62,0
63,63,0
64,64,0
65,65,0
66,66,0
67,67,1
68,68,1
69,69,1
70,70,0
71,71,1
72,72,1
73,73,1
74,74,0
75,75,0
76,76,0
77,77,0
78,78,1
79,79,0
80,80,1
81,81,0
82,82,1
83,83,0
84,84,0
85,85,1
86,86,1
87,87,0
88,88,1
89,89,1
90,90,1
91,91,1
92,92,1
93,93,1
94,94,0
95,95,0
96,96,0
97,97,0
98,98,1
99,99,1
100,100,0
101,101,1
102,102,1
103,103,1
104,104,1
105,105,0
106,106,1
107,107,0
108,108,1
109,109,1
110,110,1
111,111,1
112,112,1
113,113,1
114,114,0
115,115,0
116,116,1
117,117,1
118,118,1
119,119,1
120,120,0
121,121,0
122,122,1
123,123,0
124,124,0
125,125,1
126,126,1
127,127,1
128,128,1
129,129,0
130,130,1
131,131,0
132,132,1
133,133,1
134,134,1
135,135,1
136,136,0
137,137,0
138,138,0
139,139,1
140,140,0
141,141,1
142,142,1
143,143,0
144,144,1
145,145,1
146,146,1
147,147,0
148,148,0
149,149,1
150,150,0
151,151,0
152,152,0
153,153,1
154,154,1
155,155,1
156,156,0
157,157,0
158,158,0
159,159,0
160,160,0
161,161,1
162,162,0
163,163,0
164,164,1
165,165,1
166,166,1
167,167,0
168,168,0
169,169,0
170,170,0
171,171,0
172,172,0
173,173,0
174,174,0
175,175,0
176,176,0
177,177,1
178,178,1
179,179,1
180,180,0
181,181,0
182,182,0
183,183,0
184,184,0
185,185,1
186,186,1
187,187,0
188,188,0
189,189,1
190,190,0
191,191,1
192,192,0
193,193,1
194,194,1
195,195,1
196,196,1
197,197,1
198,198,1
199,199,1
200,200,1
201,201,1
202,202,1
203,203,0
204,204,1
205,205,0
206,206,1
207,207,1
208,208,1
209,209,1
210,210,1
211,211,1
212,212,1
213,213,1
214,214,1
215,215,1
216,216,0
217,217,0
218,218,0
219,219,0
220,220,1
221,221,1
222,222,0
223,223,1
224,224,1
225,225,1
226,226,1
227,227,0
228,228,1
229,229,1
230,230,1
231,231,1
232,232,1
233,233,1
234,234,1
235,235,0
236,236,0
237,237,1
238,238,1
239,239,1
240,240,0
241,241,0
242,242,1
243,243,0
244,244,1
245,245,1
246,246,1
247,247,0
248,248,0
249,249,0
250,250,0
251,251,0
252,252,1
253,253,1
254,254,1
255,255,1
256,256,0
257,257,0
258,258,0
259,259,0
260,260,0
261,261,0
262,262,0
263,263,1
264,264,0
265,265,1
266,266,1
267,267,1
268,268,1
269,269,1
270,270,1
271,271,1
272,272,1
273,273,1
274,274,0
275,275,1
276,276,0
277,277,1
278,278,1
279,279,1
280,280,1
281,281,1
282,282,0
283,283,0
284,284,0
285,285,1
286,286,1
287,287,1
288,288,1
289,289,0
290,290,0
291,291,0
292,292,0
293,293,0
294,294,1
295,295,0
296,296,0
297,297,0
298,298,0
299,299,1
300,300,0
301,301,0
302,302,0
303,303,0
304,304,0
305,305,0
306,306,1
307,307,1
308,308,1
309,309,1
310,310,1
311,311,1
312,312,1
313,313,0
314,314,1
315,315,0
316,316,1
317,317,0
318,318,0
319,319,0
320,320,0
321,321,1
322,322,0
323,323,0
324,324,0
325,325,1
326,326,0
327,327,0
328,328,0
329,329,1
330,330,1
331,331,1
332,332,1
333,333,1
334,334,1
335,335,1
336,336,1
337,337,1
338,338,1
339,339,1
340,340,1
341,341,0
342,342,0
343,343,0
344,344,0
345,345,1
346,346,1
347,347,1
348,348,0
349,349,0
350,350,1
351,351,1
352,352,1
353,353,1
354,354,1
355,355,1
356,356,1
357,357,1
358,358,1
359,359,1
360,360,1
361,361,1
362,362,0
363,363,1
364,364,1
365,365,0
366,366,1
367,367,0
368,368,0
369,369,0
370,370,1
371,371,1
372,372,0
373,373,1
374,374,1
375,375,0
376,376,0
377,377,0
378,378,1
379,379,0
380,380,1
381,381,1
382,382,1
383,383,1
384,384,1
385,385,1
386,386,1
387,387,1
388,388,1
389,389,1
390,390,1
391,391,1
392,392,0
393,393,0
394,394,0
395,395,0
396,396,1
397,397,0
398,398,1
399,399,0
400,400,0
401,401,1
402,402,1
403,403,1
404,404,0
405,405,0
406,406,0
407,407,0
408,408,0
409,409,0
410,410,0
411,411,0
412,412,1
413,413,1
414,414,1
415,415,1
416,416,1
417,417,1
418,418,1
419,419,1
420,420,1
421,421,1
422,422,1
423,423,1
424,424,1
425,425,1
426,426,0
427,427,0
428,428,1
429,429,1
430,430,1
431,431,1
432,432,1
433,433,1
434,434,1
435,435,1
436,436,1
437,437,1
438,438,0
439,439,0
440,440,0
441,441,0
442,442,1
443,443,1
444,444,1
445,445,1
446,446,1
447,447,1
448,448,1
449,449,1
450,450,1
451,451,1
452,452,1
453,453,1
454,454,1
455,455,1
456,456,0
457,457,0
458,458,0
459,459,1
460,460,1
461,461,0
462,462,1
463,463,1
464,464,1
465,465,1
466,466,1
467,467,1
468,468,1
469,469,1
470,470,1
471,471,1
472,472,1
473,473,1
474,474,1
475,475,1
476,476,0
477,477,1
478,478,1
479,479,1
480,480,1
481,481,1
482,482,1
483,483,1
484,484,0
485,485,1
486,486,1
487,487,0
488,488,1
489,489,1
490,490,0
491,491,0
492,492,1
493,493,0
494,494,0
495,495,1
496,496,1
497,497,0
498,498,1
499,499,1
500,500,1
501,501,1
502,502,1
503,503,1
504,504,1
505,505,1
506,506,1
507,507,1
508,508,1
509,509,1
510,510,1
511,511,1
512,512,1
513,513,1
514,514,0
515,515,0
516,516,0
517,517,1
518,518,1
519,519,0
520,520,1
521,521,1
522,522,1
523,523,1
524,524,1
525,525,1
526,526,1
527,527,1
528,528,1
529,529,0
530,530,1
531,531,0
532,532,0
533,533,0
534,534,1
535,535,1
536,536,1
537,537,1
538,538,1
539,539,1
540,540,1
541,541,1
542,542,1
543,543,1
544,544,1
545,545,0
546,546,0
547,547,0
548,548,0
549,549,0
550,550,0
551,551,0
552,552,1
553,553,1
554,554,1
555,555,1
556,556,1
557,557,1
558,558,1
559,559,1
560,560,1
561,561,1
562,562,1
563,563,1
564,564,1
565,565,1
566,566,1
567,567,1
568,568,0
569,569,0
570,570,1
571,571,0
572,572,1
573,573,1
574,574,1
575,575,1
576,576,1
577,577,0
578,578,1
579,579,0
580,580,0
581,581,0
582,582,0
583,583,1
584,584,1
585,585,1
586,586,1
587,587,1
588,588,0
589,589,1
590,590,1
591,591,1
592,592,1
593,593,1
594,594,1
595,595,1
596,596,1
597,597,0
598,598,1
599,599,1
600,600,1
601,601,1
602,602,0
603,603,0
604,604,1
605,605,1
606,606,0
607,607,1
608,608,1
609,609,0
610,610,1
611,611,1
612,612,1
613,613,1
614,614,1
615,615,1
616,616,1
617,617,1
618,618,1
619,619,1
620,620,1
621,621,1
622,622,1
623,623,1
624,624,1
625,625,0
626,626,1
627,627,1
628,628,1
629,629,1
630,630,1
631,631,1
632,632,1
633,633,1
634,634,1
635,635,1
636,636,1
637,637,1
