,Unnamed: 0,lumo
0,0,-1.0911810000000002
1,1,-2.0170174
2,2,-0.3006631
3,3,-0.28279540000000003
4,4,-0.25352470000000005
5,5,-0.2316404
6,6,-0.7324533000000001
7,7,-1.3275428
8,8,-0.4437652
9,9,-0.4630544
10,10,-0.7930126000000001
11,11,-1.9474817
12,12,-1.4678556999999999
13,13,-1.4680223999999997
14,14,-1.3451701999999999
15,15,-4.273042200000001
16,16,-1.1173952
17,17,-4.3072144
18,18,-0.8715495999999999
19,19,-0.7576111999999999
20,20,-0.6925800999999999
21,21,-1.1129705
22,22,-0.49364440000000004
23,23,-0.5305816
24,24,-0.5332101
25,25,-0.734437
26,26,-1.2870614
27,27,-1.4134071
28,28,-1.452457
29,29,-1.4341196000000003
30,30,-1.1616069
31,31,-0.6395879
32,32,-3.3640417
33,33,-3.3477574999999997
34,34,-0.7293487000000001
35,35,-1.1808243
36,36,-0.4922595
37,37,-0.5400431
38,38,-0.5579911
39,39,-0.5615084
40,40,-0.7221757
41,41,-2.0256043000000004
42,42,-2.1883001
43,43,-1.397228
44,44,-1.3809299
45,45,-3.2910957
46,46,-1.3062788
47,47,-1.2164654
48,48,-0.9383570999999999
49,49,-0.7057722
50,50,-0.7638054
51,51,-1.0424159
52,52,-0.5604694
53,53,-0.6421293
54,54,-0.6894308000000001
