,Unnamed: 0,fermi level,fermi width,e_form,gap is direct,mu_b,vbm,cbm,gap gllbsc
0,0,0.312137666029,0.0018374654734,2.16,True,0.019744776204762008,6.187693688343173,6.187693688343173,0.0
1,1,0.297082833101,0.0018374654734,1.52,True,-2.2530537238386468e-05,6.0331250955026325,6.0331250955026325,0.0
2,2,0.191139488818,0.0036749309468,1.48,True,4.982109130690463,6.602253338088008,6.602253338088008,0.0
3,3,0.316346289463,0.0018374654734,1.24,True,-0.8684496470500813,5.738461565864407,5.738461565864407,0.0
4,4,0.312657921484,0.0036749309468,0.62,True,2.164068814070805e-15,6.074735548760092,6.074735548760092,0.0
5,5,0.2160441597,0.0036749309468,1.48,True,1.8522160728533288,5.592776432508856,5.592776432508856,0.0
6,6,0.199249842122,0.0036749309468,1.56,True,0.8511542053886832,6.621218010048572,6.621218010048572,0.0
7,7,0.370044678439,0.0018374654734,1.2,True,0.02663661267544271,5.924194927318032,5.924194927318032,0.0
8,8,0.295013683666,0.0018374654734,1.62,True,3.6311960132834886,6.0533504354575465,6.0533504354575465,0.0
9,9,0.11797061488,0.0018374654734,3.16,True,-1.091823228111915,4.8760542883577855,4.8760542883577855,0.0
10,10,0.185308109116,0.0018374654734,1.4,True,-3.294402052172172,5.705181162405852,5.705181162405852,0.0
11,11,0.237135339627,0.0018374654734,2.74,True,2.28848926965053,5.4624976786221255,5.4624976786221255,0.0
12,12,0.274060714897,0.0018374654734,0.78,True,1.6565021190942917,5.952637126878617,5.952637126878617,0.0
13,13,0.16158008660999998,0.0018374654734,1.24,True,1.740041717590614,5.790835467845553,5.790835467845553,0.0
14,14,0.115362012253,0.0036749309468,1.76,True,0.0,5.791338459660518,5.791338459660518,0.0
15,15,0.30994930957,0.0018374654734,1.5,True,-3.3741888865119942,6.159949897046517,6.159949897046517,0.0
16,16,0.256938263446,0.0018374654734,2.06,True,0.7099391976143892,5.770492537520331,5.770492537520331,0.0
17,17,0.232562586658,0.0018374654734,1.06,True,-1.2390412926777115e-05,6.569397716772459,6.569397716772459,0.0
18,18,0.178275881937,0.0018374654734,1.7,True,3.5377869484649054,5.909159900148173,5.909159900148173,0.0
19,19,0.257394883798,0.0036749309468,0.46,True,1.0006383081673622,5.279861405425537,5.279861405425537,0.0
20,20,0.190679116317,0.0018374654734,1.08,True,0.05354103075394077,5.398377557087059,5.398377557087059,0.0
21,21,0.107765170328,0.0036749309468,1.28,True,3.55405060891044,6.274765060244949,6.274765060244949,0.0
22,22,0.110643793471,0.0036749309468,1.76,True,0.0,6.027736501204988,6.027736501204988,0.0
23,23,0.07851395532439999,0.0036749309468,1.68,True,2.7561148460513185,6.027874632840418,6.027874632840418,0.0
24,24,0.16396882377699998,0.0018374654734,0.82,True,3.4860099549151613,5.364555590273549,5.364555590273549,0.0
25,25,0.207492950808,0.0018374654734,1.16,True,-0.3747515234888279,6.293461833890643,6.293461833890643,0.0
26,26,0.27903439991900003,0.0018374654734,1.18,True,0.9351702650460364,5.277818860474676,5.277818860474676,0.0
27,27,0.250518514689,0.0018374654734,1.24,True,-0.19785852236010432,5.641228722957046,5.641228722957046,0.0
28,28,0.267505585647,0.0018374654734,0.32,True,3.1599040937107996,5.893034230745451,5.893034230745451,0.0
29,29,0.318711791247,0.0018374654734,0.6,True,6.377316944039536e-05,5.6280827617987335,5.6280827617987335,0.0
30,30,-0.0428012085922,0.0036749309468,2.3,True,-2.080525991442326,5.468123244331332,5.468123244331332,0.0
31,31,0.279114264163,0.0018374654734,0.66,True,-2.7096183229411968,5.6957432910346615,5.6957432910346615,0.0
32,32,0.146258997936,0.0018374654734,2.0,True,0.013866823443017042,6.075919154888568,6.075919154888568,0.0
33,33,0.226362312006,0.0018374654734,0.62,True,-1.7675647144793418,5.578348587087847,5.578348587087847,0.0
34,34,0.161938031658,0.0018374654734,0.98,True,0.002777808432654183,5.376711952401121,5.376711952401121,0.0
35,35,0.298228574453,0.0036749309468,1.3,True,1.3662570634000212e-14,6.901008725015893,6.901008725015893,0.0
36,36,0.208557928232,0.0036749309468,0.58,True,-3.3006061278441876e-15,5.893848122238516,5.893848122238516,0.0
37,37,0.25914775562,0.0018374654734,1.18,True,3.396045801551396e-05,5.8278650720021705,5.8278650720021705,0.0
38,38,0.254086665824,0.0018374654734,1.34,True,1.934692177657034,6.163752938279531,6.163752938279531,0.0
39,39,0.201994240993,0.0036749309468,0.76,True,0.9939151405607164,6.695209688660962,6.695209688660962,0.0
40,40,0.197523206233,0.0036749309468,1.16,True,0.991618211744715,6.124487931969607,6.124487931969607,0.0
41,41,0.376758471307,0.0036749309468,1.28,True,-1.054739264715521,6.210436194381236,6.210436194381236,0.0
42,42,0.304317671066,0.0018374654734,1.4,True,3.818456662996245,5.928986239837513,5.928986239837513,0.0
43,43,0.132339908319,0.0036749309468,2.96,True,1.0045038861723472,5.418995542694888,5.418995542694888,0.0
44,44,0.230466001315,0.0018374654734,0.72,True,0.0015281381676572894,5.859203808465753,5.859203808465753,0.0
45,45,0.218140253902,0.0036749309468,0.6,True,6.998288878522952,6.019732938730228,6.019732938730228,0.0
46,46,0.336591889591,0.0018374654734,0.68,True,-2.615243473869101e-05,4.986037266508324,4.986037266508324,0.0
47,47,0.22171969352,0.0036749309468,0.7,True,0.9992273794516824,5.330999788522077,5.330999788522077,0.0
48,48,0.203009514606,0.0018374654734,2.84,True,0.1879634732030233,5.519690045256533,5.519690045256533,0.0
49,49,0.16733185821,0.0018374654734,1.18,True,1.9997686685057303,5.517888615461172,5.517888615461172,0.0
50,50,0.366389976326,0.0018374654734,0.56,True,0.0001651500101225167,5.152622573398852,5.152622573398852,0.0
