,Unnamed: 0,e_above_hull,nsites,formation_energy,formation_energy_per_atom
0,0,0.1074050600000005,2,0.214810120000001,0.1074050600000005
1,1,0.0,6,-7.520109508124996,-1.2533515846874994
2,2,0.0,16,-5.4298870723809785,-0.33936794202381115
3,3,0.0,5,-2.6841749399999983,-0.5368349879999996
4,4,0.004781309999999817,2,0.009562619999999631,0.004781309999999817
5,5,0.0,16,-17.80601412,-1.1128758825
6,6,0.004609849444444869,6,-3.3336382483333296,-0.5556063747222216
7,7,0.004648612857115708,14,-37.628918925,-2.6877799232142854
8,8,0.016192764999999554,6,-1.5229912443749996,-0.2538318740624999
9,9,0.019021672166680936,20,-63.88715730500002,-3.1943578652500006
10,10,0.0,22,-17.287120924761922,-0.7857782238528146
11,11,0.3796201412500002,8,2.8107389950000012,0.3513423743750001
12,12,0.034778428333333444,6,-3.8939358399999975,-0.6489893066666662
13,13,0.0,5,-3.211992316666666,-0.6423984633333333
14,14,0.0,16,-9.20037269333335,-0.5750232933333344
15,15,0.041907493333328105,7,-2.8191933608045967,-0.402741908686371
16,16,0.10112255166666896,6,-3.1520819699999976,-0.5253469949999996
17,17,0.0,5,-2.610869396666665,-0.5221738793333329
18,18,0.010079351666667955,3,-1.18860616,-0.3962020533333333
19,19,0.016204965312499375,8,-8.155032554375001,-1.0193790692968752
20,20,0.0,4,-2.652020829999998,-0.6630052074999995
21,21,0.0,3,-1.6536819980952373,-0.5512273326984124
22,22,0.0,6,-2.510390369999996,-0.41839839499999937
23,23,0.019860467999999187,5,-1.5284280865179267,-0.3056856173035854
24,24,0.0,4,-2.457394579999999,-0.6143486449999997
25,25,0.11024672499999788,16,-8.093072050000018,-0.5058170031250011
26,26,0.011671609999999609,4,-1.3941666099461187,-0.3485416524865297
27,27,0.4537009062500008,1,0.4537009062500008,0.4537009062500008
28,28,0.11286504388889007,6,-3.153489689999997,-0.5255816149999996
29,29,0.0,6,-5.2966228050000055,-0.8827704675000009
30,30,0.09496426187500084,4,-2.1666804035668115,-0.5416701008917029
31,31,0.0,24,-50.268537050466655,-2.0945223771027766
32,32,0.034842307857140035,7,-16.376679155,-2.3395255935714294
33,33,0.14482896499999853,4,-0.6662165400000006,-0.16655413500000016
34,34,0.023336225000000432,2,0.04667245000000087,0.023336225000000432
35,35,0.09131751688888023,5,-4.216738686190478,-0.8433477372380956
36,36,0.10056074145833273,4,-1.4128262466666648,-0.3532065616666662
37,37,0.0,10,-6.789777150000006,-0.6789777150000006
38,38,0.0,16,-23.52821027625001,-1.4705131422656257
39,39,0.0,22,-59.198565385000016,-2.690843881136365
40,40,0.0,20,-53.60110595499998,-2.680055297749999
41,41,0.0,8,-12.257685509520002,-1.5322106886900002
42,42,0.0,11,-23.32301000999999,-2.1202736372727258
43,43,0.0,2,-0.9349838300000002,-0.4674919150000001
44,44,0.005438806785714068,14,-6.774784318571428,-0.4839131656122448
45,45,0.020589706000000874,10,-21.6780233175,-2.16780233175
46,46,0.007507359166655902,20,-63.90241843500002,-3.1951209217500014
47,47,0.0,9,-20.6190549625,-2.2910061069444447
48,48,0.0,5,-2.8588620341666697,-0.571772406833334
49,49,0.0002109089999997593,20,-69.76892112916667,-3.4884460564583337
50,50,0.0381751076250012,20,-37.62222932499999,-1.88111146625
51,51,1.479594520833334,5,5.942986641250003,1.1885973282500004
52,52,1.9547323799999992,5,7.95932723125,1.59186544625
53,53,0.4869376042735025,3,-0.5935054650000033,-0.19783515500000112
54,54,0.0,8,-3.203465554759993,-0.4004331943449992
55,55,0.0,6,-0.8724921099999996,-0.1454153516666666
56,56,0.007567818571429186,14,-46.8717302325,-3.3479807308928566
57,57,0.0,12,-6.03851749333333,-0.5032097911111109
58,58,0.0,2,0.0,0.0
59,59,0.009274135714288256,14,-10.194904435258618,-0.7282074596613299
60,60,0.4320316932859996,10,1.3772180388133393,0.13772180388133393
61,61,0.4145892247916665,4,1.010329017500002,0.2525822543750005
62,62,0.008836014999999975,5,-1.8881097599999992,-0.3776219519999998
63,63,0.03440853050000037,5,-4.253490427187497,-0.8506980854374995
64,64,0.0,6,-4.6559369,-0.7759894833333334
65,65,0.0,9,-5.641948939999999,-0.6268832155555555
66,66,0.0,5,-4.484170290000002,-0.8968340580000003
67,67,0.022264069999999414,6,-4.116727583333328,-0.6861212638888882
68,68,0.0,12,-13.329442110000002,-1.1107868425000005
69,69,0.01568804381944489,12,-10.417015859999992,-0.8680846549999993
70,70,0.0,8,-24.520962700235238,-3.0651203375294047
71,71,0.0,24,-63.96772441624999,-2.665321850677083
72,72,0.0,12,-5.148827784374994,-0.4290689820312495
73,73,0.0,12,-13.737295849999995,-1.1447746541666664
74,74,0.0,6,-5.6652104099999985,-0.9442017349999996
75,75,0.0,16,-7.304933793333332,-0.4565583620833333
76,76,0.0,16,-50.86574532559333,-3.179109082849583
77,77,0.0,12,-5.192668530000006,-0.4327223775000005
78,78,0.0,2,-0.6354566249999998,-0.3177283124999999
79,79,0.01463765733333444,5,-3.5858489123799977,-0.7171697824759995
80,80,0.0,16,-15.579646409039993,-0.9737279005649996
81,81,0.0,10,-30.96671073249999,-3.0966710732499987
82,82,0.0,10,-30.9169384475,-3.0916938447500004
83,83,0.02424169388889119,6,-8.35584033476,-1.3926400557933334
84,84,0.0,5,-2.206135425,-0.4412270849999999
85,85,0.0,10,-24.573386882500003,-2.45733868825
86,86,0.0,2,-0.6413674949999999,-0.32068374749999995
87,87,0.0,5,-2.40887704375,-0.4817754087499999
88,88,0.0,5,-2.6182114187500005,-0.5236422837500001
89,89,0.0,6,-6.171909729999998,-1.028651621666666
90,90,0.0,16,-16.8654620525,-1.05409137828125
91,91,0.3082833800000002,1,0.3082833800000002,0.3082833800000002
92,92,1.636224858697917,6,-2.56999397625,-0.428332329375
93,93,0.007622544166666856,12,-8.506089459999998,-0.7088407883333332
94,94,0.20224212749999992,2,-0.14683898859375066,-0.07341949429687533
95,95,0.2390955299999997,2,-3.01439754,-1.50719877
96,96,0.0172698699999998,4,-4.576405170000001,-1.1441012925000005
97,97,0.004968480000000497,3,0.01490544000000149,0.004968480000000497
98,98,0.31786316375000023,2,-1.4160943623800009,-0.7080471811900004
99,99,0.0,6,-5.311236536190479,-0.8852060893650796
100,100,0.020117149999999917,1,0.020117149999999917,0.020117149999999917
101,101,0.00507979749999965,12,-6.466325902500002,-0.5388604918750003
102,102,0.6670766488888855,3,2.001229946666665,0.6670766488888885
103,103,0.39616078,1,0.39616078,0.39616078
104,104,0.0,2,-6.480046561250003,-3.2400232806250013
105,105,0.0,4,-17.28125647857,-4.3203141196425
106,106,0.0,5,-3.9545373799999983,-0.7909074759999996
107,107,0.6230432031250004,1,0.6230432031250004,0.6230432031250004
108,108,0.001059184999999907,4,-2.5060861371875003,-0.6265215342968751
109,109,0.0,5,-0.6896346137499982,-0.13792692274999965
110,110,0.9694507915625079,2,1.88885644625,0.9444282231249996
111,111,0.0,18,-5.6411139150000045,-0.3133952175000003
112,112,0.006357768999996516,10,-30.0481959575,-3.00481959575
113,113,0.0,1,0.0,0.0
114,114,0.012069611999999452,10,-5.2506847700000066,-0.5250684770000007
115,115,0.0,6,-4.25441974,-0.7090699566666666
116,116,0.030201349999999568,1,0.030201349999999568,0.030201349999999568
117,117,0.0,3,-1.0918480166666704,-0.3639493388888901
118,118,0.03803759697916576,24,-65.66957952000001,-2.7362324800000004
119,119,0.0,4,-6.932070202187503,-1.7330175505468757
120,120,0.008160314166666627,12,-4.00000833,-0.3333340275
121,121,0.0,20,-23.83408271875,-1.1917041359374998
122,122,0.0,12,-11.762445457187495,-0.980203788098958
123,123,0.0,8,-4.365381669999998,-0.5456727087499997
124,124,0.0,14,-17.25773367928001,-1.2326952628057148
125,125,0.0,16,-31.55819825250001,-1.9723873907812508
126,126,0.017219714102569842,13,-2.75025909,-0.21155839153846154
127,127,0.0,12,-3.4728674143750027,-0.2894056178645836
128,128,0.01257799444444352,9,-29.4486182675,-3.2720686963888888
129,129,0.0,6,-2.887385012083328,-0.4812308353472214
130,130,0.032951487209401886,13,-6.502260849999999,-0.5001739115384615
131,131,0.0,2,-4.9647363340625015,-2.4823681670312503
132,132,0.14637962000000027,2,-0.4920426200000003,-0.24602131000000016
133,133,0.0,12,-3.9010320100000015,-0.32508600083333344
134,134,0.0,4,-1.4202265800000011,-0.35505664500000034
135,135,0.014699531250000675,4,-0.7669083325000017,-0.1917270831250004
136,136,0.031863155905172746,4,-2.3757017313793085,-0.5939254328448271
137,137,0.0,4,-1.2553223327586238,-0.31383058318965595
138,138,0.0,4,-2.51212941,-0.6280323525
139,139,0.08008583760416688,12,-3.0055569199999894,-0.2504630766666658
140,140,0.1031321437499999,2,-1.88987538,-0.9449376899999996
141,141,0.4672879208333329,4,0.7993775631249989,0.1998443907812497
142,142,0.0,11,-6.9773952773809516,-0.6343086615800864
143,143,0.0038334356250011577,16,-54.14102879857048,-3.3838142999106537
144,144,0.2543843558333325,12,-36.36314802,-3.030262335
145,145,0.0,14,-27.18779342250001,-1.9419852444642864
146,146,0.0007295114285712501,7,-1.8653243943749973,-0.2664749134821425
147,147,0.0,6,-6.991340385000001,-1.1652233975
148,148,0.0,8,-2.7430417193750003,-0.34288021492187504
149,149,0.0,4,-0.3737265435099992,-0.0934316358774998
150,150,0.0,24,-17.559434966666654,-0.7316431236111107
151,151,0.0,12,-8.133184536249999,-0.6777653780208333
152,152,0.21688272458333333,4,-5.2189424771875,-1.304735619296875
153,153,0.0,8,-6.389066039999998,-0.7986332549999995
154,154,0.0,2,0.0,0.0
155,155,0.001639313571428325,12,-11.531026510000006,-0.9609188758333336
156,156,0.03854933430602614,11,-12.643290064640007,-1.1493900058763642
157,157,0.013259650677085231,8,-20.600829324999992,-2.575103665624999
158,158,0.0,2,-0.25215071250000065,-0.12607535625000033
159,159,0.0,12,-6.574955000000003,-0.5479129166666669
160,160,0.0,8,-3.756710779999999,-0.4695888474999999
161,161,0.0,8,-3.8058948999999984,-0.4757368624999998
162,162,0.0,3,-1.957779013333333,-0.6525930044444443
163,163,0.0,12,-7.583485780000004,-0.6319571483333336
164,164,0.0,12,-8.517774250000002,-0.7098145208333335
165,165,0.0,10,-1.9951759500000041,-0.1995175950000004
166,166,0.0,1,0.0,0.0
167,167,0.0,7,-2.817193010000004,-0.4024561442857149
168,168,0.0,12,-9.190533989999992,-0.7658778324999993
169,169,0.045525093749999364,16,-5.575986263793112,-0.3484991414870695
170,170,0.0,6,-4.122862263333332,-0.6871437105555552
